Zipcode,Neighborhood_Score,Rental_Price,Year,Month,City
90502,0.0253278155821518,,2019,3,Los Angeles
90505,0,,2019,3,Los Angeles
90602,0,,2019,3,Los Angeles
90603,0,,2019,3,Los Angeles
90604,0,,2019,3,Los Angeles
90605,0,,2019,3,Los Angeles
90623,0,,2019,3,Los Angeles
90640,0,,2019,3,Los Angeles
90660,0,,2019,3,Los Angeles
90670,0,,2019,3,Los Angeles
90701,0,,2019,3,Los Angeles
90703,0,,2019,3,Los Angeles
90706,0,,2019,3,Los Angeles
90710,32.0088276041327,2217.63259791342,2019,3,Los Angeles
90713,0,,2019,3,Los Angeles
90715,0,,2019,3,Los Angeles
90717,0.362981020383028,,2019,3,Los Angeles
90723,0.00238527361636105,,2019,3,Los Angeles
90731,81.5387179883988,2293.70938830123,2019,3,Los Angeles
90732,16.3427908322329,2568.69635857649,2019,3,Los Angeles
90740,0,,2019,3,Los Angeles
90744,193.344799880625,1945.50953905374,2019,3,Los Angeles
90746,0,,2019,3,Los Angeles
90755,0.000951783590612621,,2019,3,Los Angeles
90802,0,,2019,3,Los Angeles
90803,0,,2019,3,Los Angeles
90804,0,,2019,3,Los Angeles
90805,0,,2019,3,Los Angeles
90806,0,,2019,3,Los Angeles
90807,0,,2019,3,Los Angeles
90808,0,,2019,3,Los Angeles
90810,0.0836809257520269,,2019,3,Los Angeles
90813,0.00262744090933206,,2019,3,Los Angeles
90814,0.000149057850038344,,2019,3,Los Angeles
90815,0,,2019,3,Los Angeles
90822,0.632422706215517,,2019,3,Los Angeles
90831,6.47587871794425E-05,,2019,3,Los Angeles
91001,0,,2019,3,Los Angeles
91006,0,,2019,3,Los Angeles
91008,0,,2019,3,Los Angeles
91011,0,,2019,3,Los Angeles
91016,0,,2019,3,Los Angeles
91030,0.160001996678192,,2019,3,Los Angeles
91040,8.94657134671311,2173.67519369984,2019,3,Los Angeles
91101,0,,2019,3,Los Angeles
91103,0.000924692176921873,,2019,3,Los Angeles
91104,0,,2019,3,Los Angeles
91105,0,,2019,3,Los Angeles
91106,0.00251185589743416,,2019,3,Los Angeles
91201,0.0634293558116223,,2019,3,Los Angeles
91203,-9.04423979666538E-06,,2019,3,Los Angeles
91204,0.0780612036407609,,2019,3,Los Angeles
91205,0.512110863890081,,2019,3,Los Angeles
91206,6.47540575207858E-05,,2019,3,Los Angeles
91207,0,,2019,3,Los Angeles
91210,0.00296180248175693,,2019,3,Los Angeles
91214,0.856841276356451,,2019,3,Los Angeles
91301,0,,2019,3,Los Angeles
91303,41.5007657047972,2465.05543619871,2019,3,Los Angeles
91304,42.0311798254168,2579.20617316554,2019,3,Los Angeles
91306,46.3844743415486,2263.41564467193,2019,3,Los Angeles
91307,-0.212798668624684,2459.15053792414,2019,3,Los Angeles
91311,1.01931431560048,2583.09526032048,2019,3,Los Angeles
91316,25.4225428412821,2500.37570790765,2019,3,Los Angeles
91321,0.0139078982080369,,2019,3,Los Angeles
